date,Karachi,Hyderabad,Sukkur,Larkana,Quetta,Bahawalpur,Multan,Faisalabad,Lahore,Gujranwala,Sialkot,Rawalpindi,Islamabad,Peshawar,Muzaffarabad
1999-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,4.1,4.7,13.9,15.8,24.200000000000003,124.6
1999-05-01,6.5,147.89999999999998,1.1,0.2,5.9,3.8,7.300000000000001,22.8,12.9,18.6,9.4,16.400000000000002,18.7,24.4,36.9
1999-06-01,0.1,0.3,0.0,0.0,0.0,20.2,16.5,23.6,36.6,72.3,70.0,69.8,68.8,23.5,42.800000000000004
1999-07-01,4.4,0.0,3.4000000000000004,1.4,13.8,16.9,36.4,77.7,181.0,336.7,444.8,129.6,120.7,248.5,294.1
1999-08-01,0.1,12.0,58.2,39.300000000000004,9.7,21.2,28.3,108.60000000000001,99.0,204.4,265.2,163.4,122.5,94.10000000000001,108.0
1999-09-01,2.1,1.8,0.6,0.7,3.0,5.5,6.1,26.5,45.0,61.2,97.0,112.5,95.3,104.0,43.7
1999-10-01,17.8,14.700000000000001,2.7,1.3,0.4,0.1,0.1,3.1,1.4,3.9,0.2,2.9,1.7000000000000002,3.1,2.3
1999-11-01,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,4.0,44.5,32.5,93.1,82.1,44.300000000000004,113.5
1999-12-01,0.0,0.0,0.0,0.0,0.0,0.2,6.9,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2000-01-01,2.8000000000000003,0.0,5.2,4.9,34.5,7.0,25.700000000000003,33.800000000000004,53.8,74.5,113.2,98.6,98.3,57.6,106.3
2000-02-01,0.5,0.0,0.3,0.0,23.5,5.0,21.9,29.6,36.8,80.3,93.89999999999999,29.700000000000003,40.3,6.300000000000001,77.60000000000001
2000-03-01,0.0,0.0,0.4,0.2,8.9,0.1,0.3,3.2,5.0,19.2,27.5,27.5,41.6,51.3,101.1
2000-04-01,0.0,0.0,0.0,1.3,0.1,0.6,1.7,2.8,3.6,6.3999999999999995,6.7,5.2,6.000000000000001,3.2,23.900000000000002
2000-05-01,1.2,0.9,0.3,0.5,0.0,1.5,6.7,10.8,21.0,27.5,22.7,23.2,23.7,10.7,18.0
2000-06-01,1.6,0.0,0.3,0.0,0.8,1.3,5.6000000000000005,33.2,36.9,96.5,89.5,86.6,125.30000000000001,24.8,89.19999999999999
2000-07-01,1.2,3.9,9.1,6.2,3.6,90.1,85.8,132.8,113.5,193.6,171.2,123.89999999999999,88.2,101.3,145.8
2000-08-01,30.7,15.399999999999999,0.5,2.9,21.7,4.2,6.6,76.0,97.4,216.0,189.2,118.7,100.0,46.7,160.7
2000-09-01,0.5,0.2,0.0,0.0,10.100000000000001,0.1,3.2,44.2,43.9,65.4,53.4,56.5,53.6,137.9,53.300000000000004
2000-10-01,0.0,0.0,0.0,0.0,0.0,0.5,2.2,2.0,2.5,0.6000000000000001,0.3,0.2,10.6,20.5,3.4
2000-11-01,0.0,0.0,0.0,0.0,4.2,0.0,0.0,7.6000000000000005,3.5999999999999996,0.5,0.7,2.2,1.7000000000000002,19.4,19.700000000000003
2000-12-01,0.5,0.0,0.0,0.0,35.0,3.1,7.0,9.5,5.3,4.0,4.8999999999999995,15.000000000000002,24.3,22.9,63.0
2001-01-01,0.0,0.0,0.0,0.0,4.7,0.2,0.0,7.800000000000001,10.0,19.7,15.600000000000001,6.3,15.0,10.0,29.1
2001-02-01,0.0,0.0,0.2,0.0,29.2,0.7000000000000001,1.8,3.7,6.5,8.0,9.1,15.6,19.6,12.299999999999999,73.3
2001-03-01,0.0,0.0,0.0,0.0,12.299999999999999,0.7999999999999999,2.1999999999999997,4.6,22.2,32.9,35.6,67.3,65.3,80.1,113.9
2001-04-01,0.0,0.0,2.6,4.4,20.8,18.6,29.9,30.8,37.6,72.1,75.4,35.1,37.5,21.8,70.7
